Variable Name,Column,Description,Source ,Website for Source ,Additional Notes,Years updated ,,,,,,,,,
EITC Maximum Credit 2 Dependents,AX,"EITC Maximum  Credit, 2 Dependents","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2012-2013,,,,,,,,,
EITC Phase-Out Rate  No Dependents ,AY,"EITC Phase-out rate, No Dependents","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2012-2013,,,,,,,,,
EITC Phase-Out Rate  1 Dependent,AZ,"EITC Phase-out rate, 1 Dependent","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2012-2013,,,,,,,,,
EITC Phase-Out Rate  2 Dependents,BA,"EITC Phase-out rate, 2 Dependents","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2012-2013,,,,,,,,,
State EITC Rate,BB,State EITC rate,"(1) Neumark, D. and W. Wascher. 2001. ""Using the EITC to Help Poor Families: New Evidence and a Comparison with the Minimum Wage"". National Tax Journal 54(2): 281-317. (2) Dickert-Conlin, Stacy, and Scott Houser.  ""EITC and Marriage,"" National Tax Journal, 55(1):25-40, March 2002. (3.) State Online Resource Center. ""50 state resouce chart, "" 27 July 2005 <http://www.stateeitc.org/map/2005_stateeitc_chart.xls>.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?Docid=293,"Tax Policy Center not updated for 2011 & 2012 , so 2011/12 data is sourced from <www.taxcreditresources.com>. 2013 data comes from tax policy center",2011-2013,,,,,,,,,
Wisconsin EITC Rate 2 Dependents,BC,EITC State Rate (WI) 2 Dependents,"(1) Neumark, D. and W. Wascher. 2001. ""Using the EITC to Help Poor Families: New Evidence and a Comparison with the Minimum Wage"". National Tax Journal 54(2): 281-317. (2) Dickert-Conlin, Stacy, and Scott Houser.  ""EITC and Marriage,"" National Tax Journal",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?Docid=293,"Tax Policy Center not updated for 2011 & 2012 , so 2010 data is sourced from <www.taxcreditresources.com>. 2013 data comes from tax policy center",2011-2013,,,,,,,,,
Wisconsin EITC Rate 3 Dependents,BD,EITC State Rate (WI) 3 Dependents,"(1) Neumark, D. and W. Wascher. 2001. ""Using the EITC to Help Poor Families: New Evidence and a Comparison with the Minimum Wage"". National Tax Journal 54(2): 281-317. (2) Dickert-Conlin, Stacy, and Scott Houser.  ""EITC and Marriage,"" National Tax Journal",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?Docid=293,"Tax Policy Center not updated for 2011 & 2012 , so 2010 data is sourced from <www.taxcreditresources.com>. 2013 data comes from tax policy center",2011-2013,,,,,,,,,
Refundable State EITC (1=yes),BE,Refundable State EITC (1=Yes),"(1) Neumark, D. and W. Wascher. 2001. ""Using the EITC to Help Poor Families: New Evidence and a Comparison with the Minimum Wage"". National Tax Journal 54(2): 281-317. (2) Dickert-Conlin, Stacy, and Scott Houser.  ""EITC and Marriage,"" National Tax Journal, 55(1):25-40, March 2002. (3.) State Online Resource Center. ""50 state resouce chart, "" 27 July 2005 <http://www.stateeitc.org/map/2005_stateeitc_chart.xls>.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?Docid=293,"Tax Policy Center not updated for 2011 & 2012 , so 2010 data is sourced from <www.taxcreditresources.com>. 2013 data comes from tax policy center",2013,,,,,,,,,
Federal Minimum Wage,BF,Federal Minimum Wage,"U.S. Employment Standards Administration, U.S. Department of Labor",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?Docid=603,,2012-2013,,,,,,,,,
State Minimum Wage,BG,State Minimum Wage,"U.S. Employment Standards Administration, U.S. Department of Labor",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?Docid=603,," 2012, 2013",,,,,,,,,
SSI recipients,BH,Number of persons receiving federally administered Social Security Income (SSI) payments ,"Congressional Statistics, U.S. Social Security Administration, Office of Retirement and Disability Policy.  SSI Annual Statistical Report; see ""Entire Publication: Recipients by state, ...""",http://www.socialsecurity.gov/policy/docs/statcomps/ssi_asr/2011/,,2011,,,,,,,,,
SSI recipients--Aged,BI,"Number of persons receiving federally administered Social Security Income (SSI) payments, by eligibility category--aged ","Congressional Statistics, U.S. Social Security Administration, Office of Retirement and Disability Policy.  SSI Annual Statistical Report; see ""Entire Publication: Recipients by state, ...""",http://www.socialsecurity.gov/policy/docs/statcomps/ssi_asr/2011/,,2011,,,,,,,,,
SSI recipients--Blind,BJ,"Number of persons receiving federally administered Social Security Income (SSI) payments, by eligibility category--blind","Congressional Statistics, U.S. Social Security Administration, Office of Retirement and Disability Policy.  SSI Annual Statistical Report; see ""Entire Publication: Recipients by state, ...""",http://www.socialsecurity.gov/policy/docs/statcomps/ssi_asr/2011/,,2011,,,,,,,,,
SSI recipients--Disabled,BK,"Number of persons receiving federally administered Social Security Income (SSI) payments, by eligibility category--Disabled","Congressional Statistics, U.S. Social Security Administration, Office of Retirement and Disability Policy.  SSI Annual Statistical Report; see ""Entire Publication: Recipients by state, ...""",http://www.socialsecurity.gov/policy/docs/statcomps/ssi_asr/2011/,,2011,,,,,,,,,
Medicaid beneficiaries,BL,Medicaid enrollment,Department of Health and Human Services.  Center for Medicare and Medicaid Services.  Medicaid Statistical Information System (MSIS) State Summary Datamarts,https://www.cms.gov/MedicaidDataSourcesGenInfo/04_MdManCrEnrllRep.asp,Reported values represent mid-year enrollment (June).  State data that has not gone through verification process is unreported in the source data.,1999-2011,,,,,,,,,
WIC participation,BM,"Total participation in the Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","U.S. Department of Agriculture, Food and Nutrition Service",http://www.fns.usda.gov/pd/26wifypart.htm,"Annual State Level Data, Total Participation",2011-2012,,,,,,,,,
NSLP Free Participation,BN,National School Lunch Program Free Participation ,"U.S. Department of Agriculture, Food and Nutrition Service",no web link available,Data are internal documents; available by request from USDA FNS,2011-2013,,,,,,,,,
NSLP Reduced Participation,BO,National School Lunch Program Reduced Participation,"U.S. Department of Agriculture, Food and Nutrition Service",no web link available,Data are internal documents; available by request from USDA FNS,2011-2013,,,,,,,,,
NSLP Total Participation,BP,National School Lunch Program Total participation,"U.S. Department of Agriculture, Food and Nutrition Service",no web link available,Data are internal documents; available by request from USDA FNS,2011-2013,,,,,,,,,
SBP Free Participation,BQ,National School Breakfast Program Free Participation,"U.S. Department of Agriculture, Food and Nutrition Service",no web link available,Data are internal documents; available by request from USDA FNS,2011-2013,,,,,,,,,
SBP Reduced Participation,BR,National School Breakfast Program Reduced Participation,"U.S. Department of Agriculture, Food and Nutrition Service",no web link available,Data are internal documents; available by request from USDA FNS,2011-2013,,,,,,,,,
SBP Total Participation,BS,National School Breakfast Program Total participation,"U.S. Department of Agriculture, Food and Nutrition Service",no web link available,Data are internal documents; available by request from USDA FNS,2011-2013,,,,,,,,,
anyapp = fraction of year any welfare waiver was approved,BT,,,,,,,,,,,,,,
anyimp = fraction of year any welfare waiver was implemented,BU,,,,,,,,,,,,,,
bt = before TANF,BV,,,,,,,,,,,,,,
at = after TANF,BW,,,,,,,,,,,,,,
ebti = fraction of year EBT program implemented,BX,,,,,,,,,,,,,,
abawd = 1 if state has waiver from FSP ABAWD requirement,BY,"These are dates when welfare waivers and TANF policies were either approved or implemented.  Variations of these were used in Figlio and Ziliak (1999); Ziliak, Gundersen, and Figlio (2003); Ziliak (2007)",,,,,,,,,,,,,
fsperrors = FSP issuance error rate,BZ,,,,,,,,,,,,,,
aptl = fraction of year time limit on welfare was approved,CA,,,,,,,,,,,,,,
apex = fraction of year for exemption approval,CB,,,,,,,,,,,,,,
apsa = fraction of year sanctions approved,CC,,,,,,,,,,,,,,
apern = fraction of year earnings disregards approved,CD,,,,,,,,,,,,,,
apcap = fraction of year family cap approved,CE,,,,,,,,,,,,,,
apwrk = fraction of year work requirements approved,CF,,,,,,,,,,,,,,
imtl = time limit implemented,CG,,,,,,,,,,,,,,
imex = exemptions implemented,CH,,,,,,,,,,,,,,
imsa = sanctions implemented,CI,,,,,,,,,,,,,,
imern = earings disregards implemented,CJ,,,,,,,,,,,,,,
imcap = family cap implemented,CK,,,,,,,,,,,,,,
imwrk = work requirement implemented,CL,,,,,,,,,,,,,,
Ellwood = 1 if welfare policies are strict based on David Ellwoods's metric,CM,,,,,,,,,,,,,,
Meyer = 1 if welfare policites are strict based on Meyer and Rosenbaum's metric,CN,,,,,,,,,,,,,,
Grogger1-Grogger3 = 1 if welfare policies are strict based on alternative metrics in Grogger and Karoly (2005),CO-CS,,,,,,,,,,,,,,
