"Note: For previous updates, right-click any worksheet tab below and select ""Unhide …"" in order to restore update worksheets by year.",,,,,,,
Variable Name,Column,Description,Source,Website for Source,Additional Notes,Years updated ,varname
Food Stamp/SNAP Recipients,R,Average Monthly Persons Receiving Food Stamps,"U.S. Department of Agriculture, Food and Nutrition Service. ""Supplemental Nutrition Assistance Program (SNAP) Program Data"" State Activity Reports",http://www.fns.usda.gov/pd/supplemental-nutrition-assistance-program-snap,Monthly averages measured in fiscal year Oct. 2015 - Sep. 2016,2016,snap_recs
Food Stamp/SNAP Caseloads,S,Average Monthly Households Receiving Food Stamps,"U.S. Department of Agriculture, Food and Nutrition Service. ""Supplemental Nutrition Assistance Program (SNAP) Program Data"" State Activity Reports",http://www.fns.usda.gov/pd/supplemental-nutrition-assistance-program-snap,Monthly averages measured in fiscal year Oct. 2015 - Sep. 2016,2016,snap_cases
AFDC/TANF Benefit for 2-Person family,T,AFDC/TANF Maximum Monthly Benefit for 2-person family,"Urban Institute, Welfare Rules Databook, 2017. ""Table II.A.4. Maximum Monthly Benefit for a Family with No Income, July 2016""",http://anfdata.urban.org/wrd,Starting in 2006 values come from the Urban Institute's Welfare Rules Database.  These years do take majority rule into consideration.,2016,afdctanf_2bene
AFDC/TANF Benefit for 3-person family,U,AFDC/TANF Maximum Monthly Benefit for 3-person family,"Urban Institute, Welfare Rules Databook, 2017. ""Table II.A.4. Maximum Monthly Benefit for a Family with No Income, July 2016""",http://anfdata.urban.org/wrd,Starting in 2006 values come from the Urban Institute's Welfare Rules Database.  These years do take majority rule into consideration.,2016,afdctanf_3bene
AFDC/TANF benefit for 4-person family,V,AFDC/TANF Maximum Monthly Benefit for 4-person family,"Urban Institute, Welfare Rules Databook, 2017. ""Table II.A.4. Maximum Monthly Benefit for a Family with No Income, July 2016""",http://anfdata.urban.org/wrd,Starting in 2006 values come from the Urban Institute's Welfare Rules Database.  These years do take majority rule into consideration.,2016,afdctanf_4bene
FS/SNAP Benefit for 1-person family,W,Maximum Allotment Food Stamp (SNAP) Benefit for 1-Person Family,"U.S. Department of Agriculture, Food and Nutrition Service. ""Supplemental Nutrition Assistance Program (SNAP) Cost of Living Adjustment Information""",http://www.fns.usda.gov/snap/cost-living-adjustment-cola-information, Alaska and Hawaii data are provided separately from the 48 contiguous states and DC.  Fiscal Year October 2015 through September 2016,2016,snap_1bene
FS/SNAP Benefit for 2-person family,X,Maximum Allotment Food Stamp (SNAP) Benefit for 2-Person Family,"U.S. Department of Agriculture, Food and Nutrition Service. ""Supplemental Nutrition Assistance Program (SNAP) Cost of Living Adjustment Information""",http://www.fns.usda.gov/snap/cost-living-adjustment-cola-information, Alaska and Hawaii data are provided separately from the 48 contiguous states and DC.  Fiscal Year October 2015 through September 2016,2016,snap_2bene
FS/SNAP Benefit for 3-person family,Y,Maximum Allotment Food Stamp (SNAP) Benefit for 3-Person Family,"U.S. Department of Agriculture, Food and Nutrition Service. ""Supplemental Nutrition Assistance Program (SNAP) Cost of Living Adjustment Information""",http://www.fns.usda.gov/snap/cost-living-adjustment-cola-information, Alaska and Hawaii data are provided separately from the 48 contiguous states and DC.  Fiscal Year October 2015 through September 2016,2016,snap_3bene
FS/SNAP Benefit for 4-person family,Z,Maximum Allotment Food Stamp (SNAP) Benefit for 4-Person Family,"U.S. Department of Agriculture, Food and Nutrition Service. ""Supplemental Nutrition Assistance Program (SNAP) Cost of Living Adjustment Information""",http://www.fns.usda.gov/snap/cost-living-adjustment-cola-information, Alaska and Hawaii data are provided separately from the 48 contiguous states and DC.  Fiscal Year October 2015 through September 2016,2016,snap_4bene
AFDC/TANF_FS 2-Person Benefit,AA,"Combined Monthly Maximum AFDC/TANF and Food Stamps Benefits, 2-Person Family",Formula adding AFDC/TANF and Food Stamps benefits,"See Columns T, X.",Sum of benefits from AFDC/TANF and Food Stamps where the Food Stamp benefit is reduced proportionally to AFDC/TANF income,2016,afdctanf_snap_2bene
AFDC/TANF_FS 3-Person Benefit,AB,"Combined Monthly Maximum AFDC/TANF and Food Stamps Benefits, 3-Person Family",Formula adding AFDC/TANF and Food Stamps benefits,"See Columns U, Y.",Sum of benefits from AFDC/TANF and Food Stamps where the Food Stamp benefit is reduced proportionally to AFDC/TANF income,2016,afdctanf_snap_3bene
AFDC/TANF_FS 4-Person Benefit,AC,"Combined Monthly Maximum AFDC/TANF and Food Stamps Benefits, 4-Person Family",Formula adding AFDC/TANF and Food Stamps benefits,"See Columns V, Z.",Sum of benefits from AFDC/TANF and Food Stamps where the Food Stamp benefit is reduced proportionally to AFDC/TANF income,2016,afdctanf_snap_4bene
Child-only AFDC/TANF cases,AD,Average Monthly Number of No-Parent (Child-Only) Caseloads for AFDC/TANF,"U.S. Department of Health and Human Services, Administration for Children and Families. ""TANF Caseload Data 2016: Total Families, TANF and SSP-MOE Combined""",http://www.acf.hhs.gov/ofa/resource/tanf-caseload-data-2016,Monthly averages measured in fiscal year Oct. 2015 - Sep. 2016,2016,afdctanf_child
SSI-Federal,AE,Monthly Maximum Federal SSI Benefits for Individuals Living Independently,"Social Security Administration, Office of Research, Evaluation, and Statistics. ""SSI Federal Payment Amounts""",http://www.ssa.gov/OACT/COLA/SSIamts.html,N/A,2016,ssi_federal
SSI-State,AF,"No longer updated.  See past updates for source information by right-clicking any worksheet tab and selecting ""Unhide…"" to restore a previous update worksheet.",,,,,ssi_state
Total SSI,AG,"No longer updated.  See past updates for source information by right-clicking any worksheet tab and selecting ""Unhide…"" to restore a previous update worksheet.",,,,,ssi_total
SSI_FS Benefit,AH,"No longer updated.  See past updates for source information by right-clicking any worksheet tab and selecting ""Unhide…"" to restore a previous update worksheet.",,,,,ssi_snap_bene
Number of Poor (thousands),AI,Number of Poor (Thousands),"U.S. Census Bureau, Housing and Household Economic Statistics Division. ""Historical Poverty Tables - People, Table 21. Number of Poor and Poverty Rate, by State""",http://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-people.html,,2016,povcount
Poverty Rate,AJ,Povert Rate (Percent),"U.S. Census Bureau, Housing and Household Economic Statistics Division. ""Table 21. Number of Poor and Poverty Rate, by State""",http://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-people.html,,2016,povrate
Governor is Democrat (1=Yes),AK,Political Party Affiliation of Governor (1=Democrat),"The Council of State Governments: Knowledge Center. ""Book of the States 2016, Chapter 4: State Executive Branch, Table 4.1 The Governors, 2016""",http://knowledgecenter.csg.org/kc/content/book-states-2016-chapter-4-state-executive-branch,"In 2016, any state without a Democrat governor has a Republican governor, except Alaska with an independent governor.",2016,governor_dem
Number in Lower House Democrat,AL,Number of Democrats in State Lower House (State Representatives),"The Council of State Governments: Knowledge Center. ""Book of the States 2016, Chapter 3: State Legislative Branch, Table 3.3 The Legislators, 2016""",http://knowledgecenter.csg.org/kc/content/book-states-2016-chapter-4-state-executive-branch,"District of Columbia and Nebraska is unicameral, thus excluded in Lower House data.",2016,lowerhouse_dems
Number in Lower House Republican,AM,Number of Republicans in State Lower House (State Representatives),"The Council of State Governments: Knowledge Center. ""Book of the States 2016, Chapter 3: State Legislative Branch, Table 3.3 The Legislators, 2016""",http://knowledgecenter.csg.org/kc/content/book-states-2016-chapter-4-state-executive-branch," District of Columbia and Nebraska is unicameral, thus excluded in Lower House data.",2016,lowerhouse_reps
Fraction of State House that is Democrat,AN,Fraction of State Lower House that is Democrat (State Representatives),"The Council of State Governments: Knowledge Center. ""Book of the States 2016, Chapter 3: State Legislative Branch, Table 3.3 The Legislators, 2016""",http://knowledgecenter.csg.org/kc/content/book-states-2016-chapter-4-state-executive-branch,"Fraction calculations do not account for 25 ""Other"" and 20 vacancies in state totals for the Lower House",2016,pctlowerhouse_dems
Number in Upper House Democrat,AO,Number of Democrats in State Upper House (State Senators),"The Council of State Governments: Knowledge Center. ""Book of the States 2016, Chapter 3: State Legislative Branch, Table 3.3 The Legislators, 2016""",http://knowledgecenter.csg.org/kc/content/book-states-2016-chapter-4-state-executive-branch,District of Columbia city council is represented in Upper House data. (NE - Nonpartisan election),2016,upperhouse_dems
Number in Upper House Republican,AP,Number of Republicans In State Upper House (State Senators),"The Council of State Governments: Knowledge Center. ""Book of the States 2016, Chapter 3: State Legislative Branch, Table 3.3 The Legislators, 2016""",http://knowledgecenter.csg.org/kc/content/book-states-2016-chapter-4-state-executive-branch,District of Columbia city council is represented in Upper House data. (NE - Nonpartisan election),2016,upperhouse_reps
Fraction of State Senate that is Democrat,AQ,Fraction of State Upper House that is Democrat (State Senators),"The Council of State Governments: Knowledge Center. ""Book of the States 2016, Chapter 3: State Legislative Branch, Table 3.3 The Legislators, 2016""",http://knowledgecenter.csg.org/kc/content/book-states-2016-chapter-4-state-executive-branch,"Fraction calculations do not account for 4 ""Other"" and 7 vacancies in state totals for the Upper House",2016,pctupperhouse_dems
EITC Phase-In Rate No Dependents,AR,"EITC Phase-In Rate, No Dependents","Tax Policy Center, A Joint Project of the Urban Institute & Brookings Institution. ""Historical EITC Parameters""",http://www.taxpolicycenter.org/statistics/eitc-parameters,N/A,2016,eitc0phasein
EITC Phase-In Rate 1 Dependent,AS,"EITC Phase-In Rate, 1 Dependent","Tax Policy Center, A Joint Project of the Urban Institute & Brookings Institution. ""Historical EITC Parameters""",http://www.taxpolicycenter.org/statistics/eitc-parameters,N/A,2016,eitc1phasein
EITC Phase-In Rate 2 Dependents,AT,"EITC Phase-In Rate, 2 Dependents","Tax Policy Center, A Joint Project of the Urban Institute & Brookings Institution. ""Historical EITC Parameters""",http://www.taxpolicycenter.org/statistics/eitc-parameters,N/A,2016,eitc2phasein
EITC Phase-In Rate 3 Dependents,AU,"EITC Phase-In Rate, 3 Dependents","Tax Policy Center, A Joint Project of the Urban Institute & Brookings Institution. ""Historical EITC Parameters""",http://www.taxpolicycenter.org/statistics/eitc-parameters,N/A,2016,eitc3phasein
EITC Maximum Credit No Dependents,AV,"EITC Maximum Credit, No Dependents","Tax Policy Center, A Joint Project of the Urban Institute & Brookings Institution. ""Historical EITC Parameters""",http://www.taxpolicycenter.org/statistics/eitc-parameters,N/A,2016,eitc0max
EITC Maximum Credit 1 Dependent,AW,"EITC Maximum Credit, 1 Dependent","Tax Policy Center, A Joint Project of the Urban Institute & Brookings Institution. ""Historical EITC Parameters""",http://www.taxpolicycenter.org/statistics/eitc-parameters,N/A,2016,eitc1max
EITC Maximum Credit 2 Dependents,AX,"EITC Maximum Credit, 2 Dependents","Tax Policy Center, A Joint Project of the Urban Institute & Brookings Institution. ""Historical EITC Parameters""",http://www.taxpolicycenter.org/statistics/eitc-parameters,N/A,2016,eitc2max
EITC Maximum Credit 3 Dependents,AY,"EITC Maximum Credit, 3 Dependents","Tax Policy Center, A Joint Project of the Urban Institute & Brookings Institution. ""Historical EITC Parameters""",http://www.taxpolicycenter.org/statistics/eitc-parameters,N/A,2016,eitc3max
EITC Phase-Out Rate No Dependents,AZ,"EITC Phase-Out Rate, No Dependents","Tax Policy Center, A Joint Project of the Urban Institute & Brookings Institution. ""Historical EITC Parameters""",http://www.taxpolicycenter.org/statistics/eitc-parameters,N/A,2016,eitc0phaseout
EITC Phase-Out Rate 1 Dependent,BA,"EITC Phase-Out Rate, 1 Dependent","Tax Policy Center, A Joint Project of the Urban Institute & Brookings Institution. ""Historical EITC Parameters""",http://www.taxpolicycenter.org/statistics/eitc-parameters,N/A,2016,eitc1phaseout
EITC Phase-Out Rate 2 Dependents,BB,"EITC Phase-Out Rate, 2 Dependents","Tax Policy Center, A Joint Project of the Urban Institute & Brookings Institution. ""Historical EITC Parameters""",http://www.taxpolicycenter.org/statistics/eitc-parameters,N/A,2016,eitc2phaseout
EITC Phase-Out Rate 3 Dependents,BC,"EITC Phase-Out Rate, 3 Dependents","Tax Policy Center, A Joint Project of the Urban Institute & Brookings Institution. ""Historical EITC Parameters""",http://www.taxpolicycenter.org/statistics/eitc-parameters,N/A,2016,eitc3phaseout
State EITC Rate,BD,State EITC Rate as Percentage of Federal Credit,"Tax Policy Center, A Joint Project of the Urban Institute & Brookings Institution. ""States and Local Governments with Earned Income Tax Credit""",http://www.taxpolicycenter.org/statistics/state-eitc-based-federal-eitc,"Use 2015 data for Minnesota.                            See specific states for further conditions in select cases:  Internal Revenue Service, Credits & Deductions. ""States and Local Governments with Earned Income Tax Credit"" <http://www.irs.gov/Credits-&-Deductions/Individuals/Earned-Income-Tax-Credit/States-and-Local-Governments-with-Earned-Income-Tax-Credit>",2016,eitc_state
Wisconsin EITC Rate 2 Dependents,BE,"Wisconsin EITC Rate as Percentage of Federal Credit, 2 Dependents","Tax Policy Center, A Joint Project of the Urban Institute & Brookings Institution. ""States and Local Governments with Earned Income Tax Credit""",http://www.taxpolicycenter.org/statistics/state-eitc-based-federal-eitc,Wisconsin bases the percentage of federal credit to number of children,2016,eitc_2state
Wisconsin EITC Rate 3 Dependents,BF,"Wisconsin EITC Rate as Percentage of Federal Credit, 3 Dependents","Tax Policy Center, A Joint Project of the Urban Institute & Brookings Institution. ""States and Local Governments with Earned Income Tax Credit""",http://www.taxpolicycenter.org/statistics/state-eitc-based-federal-eitc,Wisconsin bases the percentage of federal credit to number of children,2016,eitc_3state
Refundable State EITC (1=Yes),BG,Refundable State EITC (1=Yes),"Tax Policy Center, A Joint Project of the Urban Institute & Brookings Institution. ""States and Local Governments with Earned Income Tax Credit""",http://www.taxpolicycenter.org/statistics/state-eitc-based-federal-eitc,"Rhode Island is partially refundable and coded as ""Yes""",2016,eitc_state_refundable
Federal Minimum Wage,BH,Federal Minimum Wage,Wage and Hour Division (WHD)  CHANGES IN BASIC MINIMUM WAGES IN NON-FARM EMPLOYMENT UNDER STATE LAW: SELECTED YEARS 1968 TO 2017,https://www.dol.gov/whd/state/stateMinWageHis.htm,,2016,minwage_fed
State Minimum Wage,BI,State Minimum Wage,Wage and Hour Division (WHD)  CHANGES IN BASIC MINIMUM WAGES IN NON-FARM EMPLOYMENT UNDER STATE LAW: SELECTED YEARS 1968 TO 2017,https://www.dol.gov/whd/state/stateMinWageHis.htm,,2016,minwage_state
SSI recipients,BJ,Number of persons receiving federally administered Social Security Income (SSI) payments,"U.S. Social Security Administration, Office of Research, Evaluation, and Statistics. ""SSI Annual Statistical Report, 2015""",https://www.ssa.gov/policy/docs/statcomps/ssi_asr/2015/index.html,N/A,2015,ssi_recs
SSI recipients--Aged,BK,"Number of persons receiving federally administered Social Security Income (SSI) payments, by eligibility category--Aged","U.S. Social Security Administration, Office of Research, Evaluation, and Statistics. ""SSI Annual Statistical Report, 2015""",https://www.ssa.gov/policy/docs/statcomps/ssi_asr/2015/index.html,N/A,2015,ssi_recs_aged
SSI recipients--Blind,BL,"Number of persons receiving federally administered Social Security Income (SSI) payments, by eligibility category--Blind","U.S. Social Security Administration, Office of Research, Evaluation, and Statistics. ""SSI Annual Statistical Report, 2015""",https://www.ssa.gov/policy/docs/statcomps/ssi_asr/2015/index.html,N/A,2015,ssi_recs_blind
SSI recipients--Disabled,BM,"Number of persons receiving federally administered Social Security Income (SSI) payments, by eligibility category--Disabled","U.S. Social Security Administration, Office of Research, Evaluation, and Statistics. ""SSI Annual Statistical Report, 2015""",https://www.ssa.gov/policy/docs/statcomps/ssi_asr/2015/index.html,N/A,2015,ssi_recs_disabled
Medicaid beneficiaries,BN,Total Medicaid enrollees,"Centers for Medicare & Medicaid Services, Medicaid Budget and Expenditure System (MBES), Quarterly Medicaid Enrollment and Expenditure Reports. ""Total Medicaid Enrollees, June 2016""",http://medicaid.gov/medicaid-chip-program-information/program-information/medicaid-and-chip-enrollment-data/medicaid-enrollment-data-collected-through-mbes.html,Reported values represent mid-year enrollment (June).  State data that has not gone through verification process is unreported in the source data.,2016,medicaid
WIC participation,BO,"Total Participation in Women, Infants, and Children (WIC)","U.S. Department of Agriculture, Food and Nutrition Service: WIC Program. ""Total Participation, Annual State Level Data: FY 2009-2016""",http://www.fns.usda.gov/pd/wic-program,"Rounded 12-month fiscal year averages; Special Supplemental Nutrition Program for Women, Infants, and Children",2016,wic
NSLP Free Participation,BP,National School Lunch Program Free Participation ,"U.S. Department of Agriculture, Food and Nutrition Service",N/A,Data are internal documents; available by request from USDA FNS,2016,nslp_free
NSLP Reduced Participation,BQ,National School Lunch Program Reduced Participation,"U.S. Department of Agriculture, Food and Nutrition Service",N/A,Data are internal documents; available by request from USDA FNS,2016,nslp_reduced
NSLP Total Participation,BR,National School Lunch Program Total participation,"U.S. Department of Agriculture, Food and Nutrition Service",N/A,Data are internal documents; available by request from USDA FNS,2016,nslp
SBP Free Participation,BS,National School Breakfast Program Free Participation,"U.S. Department of Agriculture, Food and Nutrition Service",N/A,Data are internal documents; available by request from USDA FNS,2016,sbp_free
SBP Reduced Participation,BT,National School Breakfast Program Reduced Participation,"U.S. Department of Agriculture, Food and Nutrition Service",N/A,Data are internal documents; available by request from USDA FNS,2016,sbp_reduced
SBP Total Participation,BU,National School Breakfast Program Total participation,"U.S. Department of Agriculture, Food and Nutrition Service",N/A,Data are internal documents; available by request from USDA FNS,2016,sbp
