Variable Name,Column,Description,Source,Website for Source,Additional Notes,Years Updated,,,,
Number in Upper House Republican,AK,Fraction of State Lower House (State Representatives) that is Democrat.,The Council of State Governments.,,Formula copied from 2006,2007,,,,
Fraction of State Senate that is Democrat,AL,Number of Democrats in State Upper House (body consisting of State Senators).,The Council of State Governments.,http://www.ncsl.org/programs/legismgt/about/legislator_overview.htm,,2007,,,,
EITC Phase-In Rate No Dependents,AM,Number of Republicans in State Upper House (body consisting of State Senators).,The Council of State Governments.,http://www.ncsl.org/programs/legismgt/about/legislator_overview.htm,,2007,,,,
EITC Phase-In Rate 1 Dependent,AN,Fraction of State Upper House (State Senators) that is Democrat.,The Council of State Governments.,,Formula copied from 2006,2007,,,,
EITC Phase-In Rate 2 Dependents,AO,"Earned Income Tax Credit Phase-In Rate, No Dependents.","Earened Income Tax Credit Parameters, 1975-2008, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2007,,,,
EITC Maximum Credit No Dependents,AP,"EITC Phase-In Rate, 1 Dependent.","Earened Income Tax Credit Parameters, 1975-2008, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2007,,,,
EITC Maximum Credit 1 Dependent,AQ,"EITC Phase-In Rate, 2 Dependents.","Earened Income Tax Credit Parameters, 1975-2008, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2007,,,,
EITC Maximum Credit 2 Dependents,AR,"EITC Maximum Credit, No Dependents.","Earened Income Tax Credit Parameters, 1975-2008, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2007,,,,
EITC Phase-Out Rate No Dependents,AS,"EITC Maximum Credit, 1 Dependent.","Earened Income Tax Credit Parameters, 1975-2008, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2007,,,,
EITC Phase-Out Rate 1 Dependent,AT,"EITC Maximum Credit, 2 Dependents.","Earened Income Tax Credit Parameters, 1975-2008, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2007,,,,
EITC Phase-Out Rate 2 Dependents,AU,"EITC Phase-Out Rate, No Dependents.","Earened Income Tax Credit Parameters, 1975-2008, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2007,,,,
State EITC Rate,AV,"EITC Phase-Out Rate, 1 Dependent.","Earened Income Tax Credit Parameters, 1975-2008, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2007,,,,
Wisconsin EITC Rate 2 Dependents,AW,"EITC Phase-Out Rate, 2 Dependents.","Earened Income Tax Credit Parameters, 1975-2008, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2007,,,,
Wisconsin EITC Rate 3 Dependents,AX,State EITC Rate.,"(1) Neumark, D. and W. Wascher.  2001. “Using the EITC to Help Poor Families: New Evidence and a Comparison with the Minimum Wage.” National Tax Journal 54(2): 281-317. 
(2) Dickert-Conlin, Stacy, and Scott Houser. “EITC and Marriage,” National Tax Journal, 55(1): 25-40, March 2002.
(3) State Online Resource Center. ""50 State Resource Chart,"" 27 July 2005 <http://www.stateeitc.org/map/2005_stateeitc_chart.xls>.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?Docid=293,,2007,,,,
Refundable State EITC (1=Yes),BA,Refundable State EITC (1=Yes).,"(1) Neumark, D. and W. Wascher.  2001. “Using the EITC to Help Poor Families: New Evidence and a Comparison with the Minimum Wage.” National Tax Journal 54(2): 281-317. 
(2) Dickert-Conlin, Stacy, and Scott Houser. “EITC and Marriage,” National Tax Journal, 55(1): 25-40, March 2002.
(3) State Online Resource Center. ""50 State Resource Chart,"" 27 July 2005 <http://www.stateeitc.org/map/2005_stateeitc_chart.xls>.",,,2007,,,,
Federal Minimum Wage,BB,Federal minimum wage.,"U.S. Employment Standards Administration, U.S. Department of Labor.",,,2007,,,,
State Minimum Wage,BC,State minimum wage.,"U.S. Employment Standards Administration, U.S. Department of Labor.",,,2007,,,,
Child-only AFDC/TANF cases,BD,Child-only AFDC/TANF cases,"Caseload Data, The Administration for Children and Families, U.S. Department of Health and Human Services.  ",http://www.acf.hhs.gov/programs/ofa/data-reports/caseload/2007/2007_0parent_tan.htm,"Data represent Average for Fiscal Year, 2008 not yet available",2000-2007,,,,
SSI recipients,BE,Number of persons receiving federally administered Social Security Income (SSI) payments.,"Congressional Statistics, U.S. Social Security Administration, Office of Retirement and Disability Policy",http://www.socialsecurity.gov/policy/docs/factsheets/cong_stats/2007/,Data as of December 2007,2007,,,,
SSI recipients--Aged,BF,"Number of persons receiving federally administered Social Security Income (SSI) payments, by eligibility category--Aged.","Congressional Statistics, U.S. Social Security Administration, Office of Retirement and Disability Policy",http://www.socialsecurity.gov/policy/docs/factsheets/cong_stats/2007/,Data as of December 2007,2007,,,,
SSI recipients--Blind,BG,"Number of persons receiving federally administered Social Security Income (SSI) payments, by eligibility category--Blind.","Congressional Statistics, U.S. Social Security Administration, Office of Retirement and Disability Policy",http://www.socialsecurity.gov/policy/docs/factsheets/cong_stats/2007/,Data as of December 2007,2007,,,,
SSI recipients--Disabled,BH,"Number of persons receiving federally administered Social Security Income (SSI) payments, by eligibility category--Disabled.","Congressional Statistics, U.S. Social Security Administration, Office of Retirement and Disability Policy",http://www.socialsecurity.gov/policy/docs/factsheets/cong_stats/2007/,Data as of December 2007,2007,,,,
Medicaid beneficiaries,BI,Medicaid Enrollment,"Medicaid Maganed Care Enrollment Report, Medicaid Program Statistics. Medicaid Statistical Information System (MSIS). Centers for Medicare and Medicaid Services, U.S. Department of Health and Human Services.  ",http://www.cms.hhs.gov/MedicaidDataSourcesGenInfo/04_MdManCrEnrllRep.asp,"Data as of June 30, 2006",No updated data available; 2006 is last year published at http://www.cms.hhs.gov/MedicaidDataSourcesGenInfo/04_MdManCrEnrllRep.asp,,,,
WIC participation,BJ,"Total participation in the Special Supplemental Nutrition Program for Women, Infants, and Children (WIC).","U.S. Deparment of Agriculture, Food and Nutrition Service.  ",http://www.fns.usda.gov/pd/26wifypart.htm,"Data represent Fiscal Year and are as of June 26, 2008.",2003-2007,,,,
NSLP Free Participation,BK,National School Lunch Program Free Participation.,"U.S. Department of Agriculture, Food and Nutrition Service.  ",No web link available; Emailed Food and Nutrition Service for data,"Data represent Fiscal Year and are as of August 5, 2008",2003-2007,,,,
NSLP Reduced Participation,BL,National School Lunch Program Reduced Participation.,"U.S. Department of Agriculture, Food and Nutrition Service.  ",No web link available; Emailed Food and Nutrition Service for data,"Data represent Fiscal Year and are as of August 5, 2008",2003-2007,,,,
NSLP Total Participation,BM,National School Lunch Program Total Participation.,"U.S. Department of Agriculture, Food and Nutrition Service.  ",http://www.fns.usda.gov/pd/01slfypart.htm,"Data represent Fiscal Year and are as of June 26, 2008",2003-2007,,,,
SBP Free Participation,BN,National School Breakfast Program Free Participation.,"U.S. Department of Agriculture, Food and Nutrition Service.  ",No web link available; Emailed Food and Nutrition Service for data,"Data represent Fiscal Year and are as of August 5, 2008.",2003-2007,,,,
SBP Reduced Participation,BO,National School Breakfast Program Reduced Participation.,"U.S. Department of Agriculture, Food and Nutrition Service.  ",No web link available; Emailed Food and Nutrition Service for data,"Data represent Fiscal Year and are as of August 5, 2008.",2003-2007,,,,
SBP Total Participation,BP,National School Breakfast Program Total Participation.,"U.S. Department of Agriculture, Food and Nutrition Service.  ",http://www.fns.usda.gov/pd/08sbfypart.htm,"Data represent Fiscal Year and are as of June 26, 2008",2003-2007,,,,
