Variable Name,Column,Description,Source ,Website for Source ,Additional Notes,Years updated ,,,,,,,,,
AFDC/TANF Recipients,P,Total number of participants of Aid to Families with Dependent Children/Temporary Assistance to Needy Families (AFDC),"Total number of recipients of Aid to Families with Dependent Children/Temporary Assistance to Needy Families.  U.S. Department of Health and Human Services, Administration for Children and Families.  ",http://www.acf.hhs.gov/programs/ofa/resource/2011-07-tanssp-0,Number of recipients: Monthly average from fiscal year,2009-2013,,,,,,,,,
AFDC/TANF Caseloads,Q,Total number of participants of Aid to Families with Dependent Children/Temporary Assistance to Needy Families (AFDC),"Total number of families receiving Aid to Families with Dependent Children/Temporary Assistance to Needy Families.  U.S. Department of Health and Human Services, Administration for Children and Families.  ",http://www.acf.hhs.gov/programs/ofa/resource/2011-07-tanssp-0,Number of caseloads (families): Monthly average from fiscal year,2009-2013,,,,,,,,,
Food Stamp/SNAP Recipients,R,Food Stamp Program: Average Monthly Participation ,"Food Stamp Program: Average Monthly Participation by Number of Persons. U.S. Department of Agriculture, Food and Nutrition Service.    ",http://www.fns.usda.gov/pd/snapmain.htm,Figures represent total number of persons receiving benefts: Monthly average from fiscal year,2012-2013,,,,,,,,,
Food Stamp/SNAP Caseloads,S,Food Stamp Program: Average Monthly Participation .,"Food Stamp Program: Average Monthly Participation by Number of Households. U.S. Department of Agriculture, Food and Nutrition Service.    ",http://www.fns.usda.gov/pd/snapmain.htm,Figures represent total number of caseloads (families) receiving benefts: Monthly average from fiscal year,2012-2013,,,,,,,,,
AFDC/TANF Benefit for 2-person family,T,AFDC/TANF Maximum Monthly Benefit for 2-person family.,"Congressional Research Service (CRS) with data from the Urban Institute's ""Welfare Rules Database.""",No web link currently available,"2006 to 2010 state TANF benefit data come from the Urban Institute Welfare Rules Database.  In few instances, database values for the monthly benefit for a family of 3 found at fas.org do not match those from Table L5 in the WRD.  When this occurs, we calculate the growth rate for 3-person family monthly benefits derived from 2010's Table L5 to 2011's Table L5. This growth rate is then applied to 2- and 4-person families.",2013,,,,,,,,,
AFDC/TANF Benefit for 3-person family,U,AFDC/TANF Maximum Monthly Benefit for 3-person family.,"Congressional Research Service (CRS) with data from the Urban Institute's ""Welfare Rules Database.""",No web link currently available,"2006 to 2010 state TANF benefit data come from the Urban Institute Welfare Rules Database.  In few instances, database dollar amount values do not match those from Table L5 in the WRD.  When this occurs, we apply a growth rate between the database value and the corresponding amount for the previous year's L5 table for 3-person families.  This growth rate is then applied to 2- and 4-person families.  ",2013,,,,,,,,,
AFDC/TANF Benefit for 4-person family,V,AFDC/TANF Maximum Monthly Benefit for 4-person family.,"Congressional Research Service (CRS) with data from the Urban Institute's ""Welfare Rules Database.""",No web link currently available,"2006 to 2010 state TANF benefit data come from the Urban Institute Welfare Rules Database.  In few instances, database values for the monthly benefit for a family of 3 found at fas.org do not match those from Table L5 in the WRD.  When this occurs, we calculate the growth rate for 3-person family monthly benefits derived from 2010's Table L5 to 2011's Table L5. This growth rate is then applied to 2- and 4-person families.",2013,,,,,,,,,
Food Stamp/SNAP Benefit for 1-person family,W,Food Stamp Benefit for 1-person family,"Supplemental Nutrition Assistance Program, Cost of Living Adjustment Information.  Food and Nutrition Service, US Department of Agriculture.",http://www.fns.usda.gov/snap/government/cola.htm  ,"See Maximum Allotments and Deductions"" used Pre-recovery values for 2009; Alaska and Hawaii on separate chart.  Used Urban measurement for Alaska.",2012-2013,,,,,,,,,
Food Stamp/SNAP Benefit for 2-person family,X,Food Stamp Benefit for 2-person family,"Supplemental Nutrition Assistance Program, Cost of Living Adjustment Information.  Food and Nutrition Service, US Department of Agriculture.",http://www.fns.usda.gov/snap/government/cola.htm  ,"See ""Maximum Monthly Allotment"" used Pre-recovery values for 2009; Alaska and Hawaii on separate chart.  Used Urban measurement for Alaska.",2012-2014,,,,,,,,,
Food Stamp/SNAP Benefit for 3 -person family,Y,Food Stamp Benefit for 3 -person family,"Supplemental Nutrition Assistance Program, Cost of Living Adjustment Information.  Food and Nutrition Service, US Department of Agriculture.",http://www.fns.usda.gov/snap/government/cola.htm  ,"See ""Maximum Monthly Allotment"" used Pre-recovery values for 2009; Alaska and Hawaii on separate chart.  Used Urban measurement for Alaska.",2012-2014,,,,,,,,,
Food Stamp/SNAP Benefit for 4-person family ,Z,Food Stamp Benefit for 4-person family ,"Supplemental Nutrition Assistance Program, Cost of Living Adjustment Information.  Food and Nutrition Service, US Department of Agriculture.",http://www.fns.usda.gov/snap/government/cola.htm  ,"See ""Maximum Monthly Allotment"" used Pre-recovery values for 2009; Alaska and Hawaii on separate chart.  Used Urban measurement for Alaska.",2012-2014,,,,,,,,,
AFDC/TANF_FS 2-Person Benefit,AA,"Combined monthly maximum potential AFDC/TANF and food stamp benefits, 2-person family.","Combined monthly maximum potential AFDC/TANF and food stamp benefits, 2-person family.
",Formula adding AFDC/TANF and food stamp benefits,No changes in formula applied to 2011,2005-2013,,,,,,,,,
AFDC/TANF_FS 3-Person Benefit,AB,"Combined monthly maximum potential AFDC/TANF and food stamp benefits, 3-person family.","Combined monthly maximum potential AFDC/TANF and food stamp benefits, 3-person family.
",Formula adding AFDC/TANF and food stamp benefits,No changes in formula applied to 2011,2005-2013,,,,,,,,,
AFDC/TANF_FS 4-Person Benefit,AC,"Combined monthly maximum potential AFDC/TANF and food stamp benefits, 4-person family.","Combined monthly maximum potential AFDC/TANF and food stamp benefits, 4-person family.
",Formula adding AFDC/TANF and food stamp benefits,No changes in formula applied to 2011,2005-2013,,,,,,,,,
Child-only AFDC/TANF cases,AD,Child-only AFDC/TANF cases,Child-only AFDC/TANF cases,http://www.acf.hhs.gov/programs/ofa/data-reports/caseload/caseload_current.htm,Average no-parent families during fiscal year,2009-2013,,,,,,,,,
SSI-Federal,AE,Monthly Federal SSI benefits for individuals living independently,"SSI Federal Monthly Payment Amounts.  Social Security Administration.  Office of Research, Evaluation, and Statistics.    ",http://www.ssa.gov/OACT/COLA/SSIamts.html,,2013-2014,,,,,,,,,
SSI-State,AF,State SSI supplements for individuals living independently,"State Assistance Programs for SSI Recipients (January 2007) - Optional State Supplementation Payment Levels.  Social Security Administration, Office of Policy & Office of Research, Evaluation, and Statistics. ",http://www.socialsecurity.gov/policy/docs/progdesc/ssi_st_asst/,"Illinois supplementation based on individual assessment.  Massachusetts, Nevada provide variety of state supplements based on type of SSI qualification.",2012,,,,,,,,,
Total  SSI,AG,Maximum amount payable to an SSI recipient in combined Federal and State supplementary payments,"State Assistance Programs for SSI Recipients (January 2007) - Optional State Supplementation Payment Levels.  Social Security Administration, Office of Policy & Office of Research, Evaluation, and Statistics. ",http://www.ssa.gov/policy/docs/progdesc/ssi_st_asst/2008/index.html#toc,This value combines federal and state SSI benefit payments.  ,2012,,,,,,,,,
SSI_FS Benefit,AH,combined montlhy maximum potential SSI and food stamp benefits for aged individuals living independently,"State Assistance Programs for SSI Recipients (January 2007) - Optional State Supplementation Payment Levels.  Social Security Administration, Office of Policy & Office of Research, Evaluation, and Statistics. ",http://www.ssa.gov/policy/docs/progdesc/ssi_st_asst/2008/index.html#toc,This value combines total SSI benefits and 1-person food stamp benefits. .,2012,,,,,,,,,
Number of poor (thousands),AI,number of poor (thousands),"Historical Poverty Tables (Table 21).  U.S. Census Bureau, Housing and Household Economic Statistics Division.",http://www.census.gov/hhes/www/poverty/data/historical/people.html,,2012,,,,,,,,,
Poverty rate,AJ,poverty rate (percent),"Historical Poverty Tables (Table 21).  U.S. Census Bureau, Housing and Household Economic Statistics Division.",http://www.census.gov/hhes/www/poverty/data/historical/people.html,,2012,,,,,,,,,
Governor is Democrat (1=Yes),AK,political party affiliation of Governor (1=Democrat),The Council of State Governments; National Governors Association,http://knowledgecenter.csg.org/drupal/view-content-type/1219 http://www.nga.org/cms/governors/bios,"2012: Chapter 4, Table 4.1.; 2013 data taken from National Governors Association webpage; Democrat = 1 (RI has Independent governor in 2012-13)",2012-2014,,,,,,,,,
Number in Lower House Democrat,AL,Number of Democrats in State in Lower house (body consisting of State representatives,The Council of State Governments,http://knowledgecenter.csg.org/drupal/view-content-type/1219,"Chapter 3, Table 3.3",2013,,,,,,,,,
Number in lower House Republican,AM,Number of Republicans in State in Lower house (body consisting of State representatives,The Council of State Governments,http://knowledgecenter.csg.org/drupal/view-content-type/1219,"Chapter 3, Table 3.3",2013,,,,,,,,,
Fraction of State House That is Democrat,AN,Fraction of State Lower House that is Democrat,The Council of State Governments,http://knowledgecenter.csg.org/drupal/view-content-type/1219,"Chapter 3, Table 3.3",2013,,,,,,,,,
Number in Upper House Democrat,AO,Number of Democrats in State in Upper house (body consisting of State Senators,The Council of State Governments,http://knowledgecenter.csg.org/drupal/view-content-type/1219,"Chapter 3, Table 3.3.  CSG lists a District of Columbia Upper House; see table 3.1 and note (a) for clarification that it is more accurately a city council.  ",2013,,,,,,,,,
Number in Upper House Republican,AP,Number of Republicans In State Upper House (body consisting of Senators,The Council of State Governments,http://knowledgecenter.csg.org/drupal/view-content-type/1219,"Chapter 3, Table 3.3.  CSG lists a District of Columbia Upper House; see table 3.1 and note (a) for clarification that it is more accurately a city council.  ",2013,,,,,,,,,
Fraction of State Senate that is Democrat,AQ,Fraction of State Upper House (state Senators) that is Democrat,The Council of State Governments,http://knowledgecenter.csg.org/drupal/view-content-type/1219,"Chapter 3, Table 3.3",2013,,,,,,,,,
EITC Phase-In Rate No Dependents,AR,"Earned Income Tax Credit Phase-In Rate, No Dependents","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2014,,,,,,,,,
EITC Phase-In Rate 1 Dependent,AS,"EITC Phase-In rate, 1 Dependent","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2014,,,,,,,,,
EITC Phase-In Rate 2 Dependents,AT,"EITC Phase-In rate, 2 Dependents","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2014,,,,,,,,,
EITC Phase Maximum Credit No Dependents,AU,"EITC Maximum  Credit, No Dependents","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2014,,,,,,,,,
EITC Maximum Credit 1 Dependent,AV,"EITC Maximum  Credit, 1 Dependent","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2014,,,,,,,,,
EITC Maximum Credit 2 Dependents,AW,"EITC Maximum  Credit, 2 Dependents","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2014,,,,,,,,,
EITC Phase-Out Rate  No Dependents ,AX,"EITC Phase-out rate, No Dependents","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2014,,,,,,,,,
EITC Phase-Out Rate  1 Dependent,AY,"EITC Phase-out rate, 1 Dependent","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2014,,,,,,,,,
EITC Phase-Out Rate  2 Dependents,AZ,"EITC Phase-out rate, 2 Dependents","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2014,,,,,,,,,
State EITC Rate,BA,State EITC rate,"(1) Neumark, D. and W. Wascher. 2001. ""Using the EITC to Help Poor Families: New Evidence and a Comparison with the Minimum Wage"". National Tax Journal 54(2): 281-317. (2) Dickert-Conlin, Stacy, and Scott Houser.  ""EITC and Marriage,"" National Tax Journal, 55(1):25-40, March 2002. (3.) State Online Resource Center. ""50 state resouce chart, "" 27 July 2005 <http://www.stateeitc.org/map/2005_stateeitc_chart.xls>.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?Docid=293,"Tax Policy Center not updated for 2011 & 2012 , so 2011/12 data is sourced from <www.taxcreditresources.com>. 2013 data comes from tax policy center",2013,, ,,,,,,,
Wisconsin EITC Rate 2 Dependents,BB,EITC State Rate (WI) 2 Dependents,"(1) Neumark, D. and W. Wascher. 2001. ""Using the EITC to Help Poor Families: New Evidence and a Comparison with the Minimum Wage"". National Tax Journal 54(2): 281-317. (2) Dickert-Conlin, Stacy, and Scott Houser.  ""EITC and Marriage,"" National Tax Journal",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?Docid=293,"Tax Policy Center not updated for 2011 & 2012 , so 2010 data is sourced from <www.taxcreditresources.com>. 2013 data comes from tax policy center",2013,,,,,,,,,
Wisconsin EITC Rate 3 Dependents,BC,EITC State Rate (WI) 3 Dependents,"(1) Neumark, D. and W. Wascher. 2001. ""Using the EITC to Help Poor Families: New Evidence and a Comparison with the Minimum Wage"". National Tax Journal 54(2): 281-317. (2) Dickert-Conlin, Stacy, and Scott Houser.  ""EITC and Marriage,"" National Tax Journal",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?Docid=293,"Tax Policy Center not updated for 2011 & 2012 , so 2010 data is sourced from <www.taxcreditresources.com>. 2013 data comes from tax policy center",2013,,,,,,,,,
Refundable State EITC (1=yes),BD,Refundable State EITC (1=Yes),"(1) Neumark, D. and W. Wascher. 2001. ""Using the EITC to Help Poor Families: New Evidence and a Comparison with the Minimum Wage"". National Tax Journal 54(2): 281-317. (2) Dickert-Conlin, Stacy, and Scott Houser.  ""EITC and Marriage,"" National Tax Journal, 55(1):25-40, March 2002. (3.) State Online Resource Center. ""50 state resouce chart, "" 27 July 2005 <http://www.stateeitc.org/map/2005_stateeitc_chart.xls>.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?Docid=293,"Tax Policy Center not updated for 2011 & 2012 , so 2010 data is sourced from <www.taxcreditresources.com>. 2013 data comes from tax policy center",2013,,,,,,,,,
Federal Minimum Wage,BE,Federal Minimum Wage,"U.S. Employment Standards Administration, U.S. Department of Labor",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?Docid=603,,2014,,,,,,,,,
State Minimum Wage,BF,State Minimum Wage,"U.S. Employment Standards Administration, U.S. Department of Labor",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?Docid=603,,2014,,,,,,,,,
SSI recipients,BG,Number of persons receiving federally administered Social Security Income (SSI) payments ,"Congressional Statistics, U.S. Social Security Administration, Office of Retirement and Disability Policy.  SSI Annual Statistical Report; see ""Entire Publication: Recipients by state, ...""",http://www.socialsecurity.gov/policy/docs/statcomps/ssi_asr/2012/,,2012,,,,,,,,,
SSI recipients--Aged,BH,"Number of persons receiving federally administered Social Security Income (SSI) payments, by eligibility category--aged ","Congressional Statistics, U.S. Social Security Administration, Office of Retirement and Disability Policy.  SSI Annual Statistical Report; see ""Entire Publication: Recipients by state, ...""",http://www.socialsecurity.gov/policy/docs/statcomps/ssi_asr/2012/,,2012,,,,,,,,,
SSI recipients--Blind,BI,"Number of persons receiving federally administered Social Security Income (SSI) payments, by eligibility category--blind","Congressional Statistics, U.S. Social Security Administration, Office of Retirement and Disability Policy.  SSI Annual Statistical Report; see ""Entire Publication: Recipients by state, ...""",http://www.socialsecurity.gov/policy/docs/statcomps/ssi_asr/2012/,,2012,,,,,,,,,
SSI recipients--Disabled,BJ,"Number of persons receiving federally administered Social Security Income (SSI) payments, by eligibility category--Disabled","Congressional Statistics, U.S. Social Security Administration, Office of Retirement and Disability Policy.  SSI Annual Statistical Report; see ""Entire Publication: Recipients by state, ...""",http://www.socialsecurity.gov/policy/docs/statcomps/ssi_asr/2012/,,2012,,,,,,,,,
Medicaid beneficiaries,BK,Medicaid enrollment,Department of Health and Human Services.  Center for Medicare and Medicaid Services.  Medicaid Statistical Information System (MSIS) State Summary Datamarts,https://www.cms.gov/MedicaidDataSourcesGenInfo/04_MdManCrEnrllRep.asp,Reported values represent mid-year enrollment (June).  State data that has not gone through verification process is unreported in the source data.,2012,,,,,,,,,
WIC participation,BL,"Total participation in the Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","U.S. Department of Agriculture, Food and Nutrition Service",http://www.fns.usda.gov/pd/26wifypart.htm,"Annual State Level Data, Total Participation",2013,,,,,,,,,
NSLP Free Participation,BM,National School Lunch Program Free Participation ,"U.S. Department of Agriculture, Food and Nutrition Service",no web link available,Data are internal documents; available by request from USDA FNS,2013,,,,,,,,,
NSLP Reduced Participation,BN,National School Lunch Program Reduced Participation,"U.S. Department of Agriculture, Food and Nutrition Service",no web link available,Data are internal documents; available by request from USDA FNS,2013,,,,,,,,,
NSLP Total Participation,BO,National School Lunch Program Total participation,"U.S. Department of Agriculture, Food and Nutrition Service",no web link available,Data are internal documents; available by request from USDA FNS,2008-2013,,,,,,,,,
SBP Free Participation,BP,National School Breakfast Program Free Participation,"U.S. Department of Agriculture, Food and Nutrition Service",no web link available,Data are internal documents; available by request from USDA FNS,2013,,,,,,,,,
SBP Reduced Participation,BQ,National School Breakfast Program Reduced Participation,"U.S. Department of Agriculture, Food and Nutrition Service",no web link available,Data are internal documents; available by request from USDA FNS,2013,,,,,,,,,
SBP Total Participation,BR,National School Breakfast Program Total participation,"U.S. Department of Agriculture, Food and Nutrition Service",no web link available,Data are internal documents; available by request from USDA FNS,2008-2013,,,,,,,,,
